RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =           91     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
  223  248     0     0  con    0  1.0D+00  3.8D-02  2.760D-02  7.207D-01
  224  249     0     0  con    0  1.0D+00  1.2D-02  2.077D-02  7.206D-01
  225  250     0     0  con    0  1.0D+00  2.7D-02  2.492D-02  7.205D-01
  226  251     0     0  con    0  1.0D+00  2.2D-02  1.577D-02  7.204D-01
  227  252     0     0  con    0  1.0D+00  6.9D-03  9.219D-03  7.204D-01
  228  253     0     0  con    0  1.0D+00  3.8D-02  1.230D-02  7.203D-01
  229  254     0     0  con    0  1.0D+00  4.3D-02  8.384D-03  7.203D-01
  230  256     0     0  con    1  4.5D-01  2.6D-02  2.451D-02  7.202D-01
  231  257     0     0  con    0  1.0D+00  2.5D-02  6.879D-03  7.202D-01
  232  258     0     0  con    0  1.0D+00  3.1D-02  1.433D-02  7.201D-01
  233  259     0     0  con    0  1.0D+00  3.7D-02  2.241D-02  7.200D-01
  234  260     0     0  con    0  1.0D+00  5.1D-02  2.440D-02  7.199D-01
  235  262     0     0  con    1  4.2D-01  5.4D-02  2.565D-02  7.198D-01
  236  263     0     0  con    0  1.0D+00  3.1D-02  1.088D-02  7.196D-01
  237  264     0     0  con    0  1.0D+00  2.4D-02  2.138D-02  7.195D-01
  238  265     0     0  con    0  1.0D+00  7.8D-03  1.228D-02  7.195D-01
  239  266     0     0  con    0  1.0D+00  9.0D-03  6.774D-03  7.195D-01
  240  267     0     0  con    0  1.0D+00  1.4D-02  8.237D-03  7.194D-01
  241  268     0     0  con    0  1.0D+00  3.4D-02  1.998D-02  7.193D-01
  242  269     0     0  con    0  1.0D+00  3.3D-02  1.483D-02  7.193D-01
  243  271     0     0  con    1  2.3D-01  1.9D-02  3.885D-02  7.192D-01
  244  272     0     0  con    0  1.0D+00  2.0D-02  1.255D-02  7.192D-01
  245  273     0     0  con    0  1.0D+00  9.8D-03  5.958D-03  7.191D-01
  246  274     0     0  con    0  1.0D+00  6.3D-03  8.840D-03  7.191D-01
  247  275     0     0  con    0  1.0D+00  1.7D-02  1.293D-02  7.191D-01
  248  276     0     0  con    0  1.0D+00  2.9D-02  1.787D-02  7.190D-01
  249  278     0     0  con    1  3.1D-01  2.3D-02  6.523D-03  7.190D-01
  250  279     0     0  con    0  1.0D+00  2.3D-02  7.171D-03  7.189D-01
  251  281     0     0  con    1  4.4D-01  2.0D-02  1.339D-02  7.188D-01
  252  282     0     0  con    0  1.0D+00  3.9D-02  7.064D-03  7.187D-01
  253  283     0     0  con    0  1.0D+00  1.8D-02  5.704D-03  7.187D-01
  254  284     0     0  con    0  1.0D+00  2.7D-02  1.807D-02  7.186D-01
  255  285     0     0  con    0  1.0D+00  2.2D-02  2.258D-02  7.185D-01
  256  286     0     0  con    0  1.0D+00  1.9D-02  1.072D-02  7.185D-01
  257  287     0     0  con    0  1.0D+00  3.0D-02  7.474D-03  7.184D-01
  258  288     0     0  con    0  1.0D+00  1.4D-02  4.287D-03  7.184D-01
  259  289     0     0  con    0  1.0D+00  7.7D-02  2.940D-02  7.183D-01
  260  290     0     0  con    0  1.0D+00  2.7D-02  2.338D-02  7.183D-01
  261  291     0     0  con    0  1.0D+00  7.8D-03  1.695D-02  7.182D-01
  262  292     0     0  con    0  1.0D+00  6.3D-02  1.471D-02  7.182D-01
  263  293     0     0  con    0  1.0D+00  2.0D-02  1.193D-02  7.181D-01
  264  294     0     0  con    0  1.0D+00  4.6D-02  6.670D-03  7.180D-01
  265  296     0     0  con    1  3.7D-01  4.0D-02  9.280D-03  7.179D-01
  266  297     0     0  con    0  1.0D+00  9.3D-02  2.914D-03  7.179D-01
  267  298     0     0  con    0  1.0D+00  5.6D-02  2.626D-02  7.178D-01
  268  299     0     0  con    0  1.0D+00  3.7D-02  1.054D-02  7.178D-01
  269  300     0     0  con    0  1.0D+00  2.6D-02  1.629D-02  7.177D-01
  270  301     0     0  con    0  1.0D+00  3.5D-02  8.824D-03  7.177D-01
  271  302     0     0  con    0  1.0D+00  2.8D-02  5.303D-03  7.177D-01
  272  304     0     0  con    1  2.9D-01  1.1D-02  2.161D-02  7.176D-01
  273  305     0     0  con    0  1.0D+00  2.7D-02  1.473D-02  7.176D-01
  274  306     0     0  con    0  1.0D+00  2.0D-02  1.022D-02  7.175D-01
  275  307     0     0  con    0  1.0D+00  1.3D-02  7.637D-03  7.175D-01
  276  308     0     0  con    0  1.0D+00  1.3D-02  8.955D-03  7.174D-01
  277  309     0     0  con    0  1.0D+00  3.3D-02  8.746D-03  7.174D-01
  278  310     0     0  con    0  1.0D+00  4.5D-02  6.487D-03  7.173D-01
  279  311     0     0  con    0  1.0D+00  1.7D-01  2.355D-02  7.173D-01
  280  312     0     0  con    0  1.0D+00  2.3D-02  1.501D-02  7.172D-01
  281  313     0     0  con    0  1.0D+00  1.3D-02  7.059D-03  7.172D-01
  282  314     0     0  con    0  1.0D+00  1.6D-02  4.833D-03  7.172D-01
  283  315     0     0  con    0  1.0D+00  1.1D-02  1.106D-02  7.172D-01
  284  316     0     0  con    0  1.0D+00  8.4D-02  3.390D-02  7.172D-01
  285  317     0     0  con    0  1.0D+00  1.1D-02  7.149D-03  7.171D-01
  286  318     0     0  con    0  1.0D+00  1.5D-02  7.219D-03  7.171D-01
  287  319     0     0  con    0  1.0D+00  2.1D-02  5.435D-03  7.171D-01
  288  320     0     0  con    0  1.0D+00  7.3D-02  5.649D-03  7.170D-01
  289  321     0     0  con    0  1.0D+00  1.1D-01  6.950D-03  7.169D-01
  290  322     0     0  con    0  1.0D+00  6.2D-02  9.068D-03  7.169D-01
  291  324     0     0  con    1  3.8D-01  4.4D-02  2.189D-02  7.168D-01
  292  325     0     0  con    0  1.0D+00  2.5D-02  7.465D-03  7.168D-01
  293  326     0     0  con    0  1.0D+00  4.2D-02  6.641D-03  7.167D-01
  294  327     0     0  con    0  1.0D+00  1.2D-02  4.645D-03  7.167D-01
  295  329     0     0  con    1  4.2D-01  1.2D-02  2.567D-02  7.167D-01
  296  330     0     0  con    0  1.0D+00  1.1D-02  8.250D-03  7.167D-01
  297  331     0     0  con    0  1.0D+00  1.2D-02  2.617D-03  7.167D-01
  298  332     0     0  con    0  1.0D+00  7.0D-03  5.357D-03  7.167D-01
  299  333     0     0  con    0  1.0D+00  5.5D-03  7.887D-03  7.166D-01
  300  334     0     0  con    0  1.0D+00  3.4D-02  1.008D-02  7.166D-01
  301  336     0     0  con    1  5.0D-01  1.4D-02  1.190D-02  7.166D-01
  302  337     0     0  con    0  1.0D+00  1.2D-02  4.230D-03  7.166D-01
  303  338     0     0  con    0  1.0D+00  1.6D-02  4.594D-03  7.165D-01
  304  339     0     0  con    0  1.0D+00  9.6D-03  9.490D-03  7.165D-01
  305  340     0     0  con    0  1.0D+00  1.8D-02  6.775D-03  7.165D-01
  306  342     0     0  con    1  2.1D-01  1.8D-02  2.361D-02  7.165D-01
  307  343     0     0  con    0  1.0D+00  2.5D-02  4.144D-03  7.165D-01
  308  344     0     0  con    0  1.0D+00  3.3D-03  2.016D-03  7.165D-01
  309  345     0     0  con    0  1.0D+00  6.0D-03  2.916D-03  7.164D-01
  310  346     0     0  con    0  1.0D+00  1.3D-02  4.395D-03  7.164D-01
  311  347     0     0  con    0  1.0D+00  4.0D-02  7.499D-03  7.164D-01
